timestamp,axis1,axis2,axis3
2017-03-22 09:45:00,0,0,0
2017-03-22 09:45:05,0,0,0
2017-03-22 09:45:10,0,0,0
2017-03-22 09:45:15,0,0,0
2017-03-22 09:45:20,0,0,0
2017-03-22 09:45:25,0,0,0
2017-03-22 09:45:30,0,0,0
2017-03-22 09:45:35,0,0,0
2017-03-22 09:45:40,0,0,0
2017-03-22 09:45:45,0,0,0
2017-03-22 09:45:50,0,0,0
2017-03-22 09:45:55,0,0,0
2017-03-22 09:46:00,0,0,0
2017-03-22 09:46:05,0,0,0
2017-03-22 09:46:10,0,0,0
2017-03-22 09:46:15,0,0,0
2017-03-22 09:46:20,0,0,0
2017-03-22 09:46:25,443,282,222
2017-03-22 09:46:30,302,344,267
2017-03-22 09:46:35,397,339,140
2017-03-22 09:46:40,608,458,505
2017-03-22 09:46:45,669,577,562
2017-03-22 09:46:50,337,434,503
2017-03-22 09:46:55,38,131,81
2017-03-22 09:47:00,0,0,0
2017-03-22 09:47:05,0,0,0
2017-03-22 09:47:10,49,0,0
2017-03-22 09:47:15,0,0,0
2017-03-22 09:47:20,13,0,0
2017-03-22 09:47:25,0,0,0
2017-03-22 09:47:30,0,0,0
2017-03-22 09:47:35,0,0,0
2017-03-22 09:47:40,0,0,0
2017-03-22 09:47:45,0,0,0
2017-03-22 09:47:50,24,0,0
2017-03-22 09:47:55,0,0,0
2017-03-22 09:48:00,0,0,0
2017-03-22 09:48:05,108,124,95
2017-03-22 09:48:10,219,186,419
2017-03-22 09:48:15,456,389,184
2017-03-22 09:48:20,293,170,226
2017-03-22 09:48:25,441,74,388
2017-03-22 09:48:30,54,252,244
2017-03-22 09:48:35,0,0,0
2017-03-22 09:48:40,0,13,0
2017-03-22 09:48:45,198,112,133
2017-03-22 09:48:50,0,0,0
2017-03-22 09:48:55,0,0,0
2017-03-22 09:49:00,0,0,0
2017-03-22 09:49:05,0,0,0
2017-03-22 09:49:10,0,0,0
2017-03-22 09:49:15,0,0,0
2017-03-22 09:49:20,0,0,0
2017-03-22 09:49:25,0,0,0
2017-03-22 09:49:30,0,0,0
2017-03-22 09:49:35,0,0,0
2017-03-22 09:49:40,0,0,0
2017-03-22 09:49:45,0,0,0
2017-03-22 09:49:50,0,0,0
2017-03-22 09:49:55,0,0,0
2017-03-22 09:50:00,0,0,0
2017-03-22 09:50:05,0,0,0
2017-03-22 09:50:10,0,0,0
2017-03-22 09:50:15,0,0,0
2017-03-22 09:50:20,0,0,0
2017-03-22 09:50:25,0,0,0
2017-03-22 09:50:30,0,0,0
2017-03-22 09:50:35,0,0,0
2017-03-22 09:50:40,0,0,0
2017-03-22 09:50:45,0,0,0
2017-03-22 09:50:50,0,0,0
